elapsed, window, total, successful, failed
10.000026, 10.000026, 93972, 93972, 0
20.000435, 10.000409, 86971, 86971, 0
30.000457, 10.000022, 60267, 60267, 0
40.000434, 9.999977, 61866, 61866, 0
50.000372, 9.999938, 57018, 57018, 0
60.000387, 10.000015, 76301, 76301, 0
70.000447, 10.00006, 74170, 74170, 0
80.000355, 9.999908, 60935, 60935, 0
90.000419, 10.000064, 72306, 72306, 0
100.000382, 9.999963, 82604, 82604, 0
110.000406, 10.000024, 72748, 72748, 0
120.000399, 9.999993, 81724, 81724, 0
130.000406, 10.000007, 67690, 67690, 0
140.000357, 9.999951, 71294, 71294, 0
150.000373, 10.000016, 60312, 60312, 0
160.000436, 10.000063, 76965, 76965, 0
170.000376, 9.99994, 22231, 22231, 0
180.000366, 9.99999, 16952, 10850, 6102
190.000378, 10.000012, 9416, 9416, 0
200.000388, 10.00001, 14538, 8090, 6448
210.000365, 9.999977, 114785, 5290, 109495
220.000362, 9.999997, 148043, 2798, 145245
230.000374, 10.000012, 145689, 3233, 142456
240.000359, 9.999985, 162918, 3173, 159745
250.000381, 10.000022, 150702, 2394, 148308
260.000361, 9.99998, 147944, 2452, 145492
270.000365, 10.000004, 182565, 2278, 180287
280.000366, 10.000001, 265746, 1635, 264111
290.000383, 10.000017, 201972, 2056, 199916
300.000502, 10.000119, 277881, 2076, 275805
310.000363, 9.999861, 257776, 1981, 255795
320.000359, 9.999996, 147245, 1777, 145468
330.000383, 10.000024, 208091, 2005, 206086
340.00036, 9.999977, 220868, 1823, 219045
350.00036, 10.0, 151969, 1892, 150077
360.000372, 10.000012, 241941, 2057, 239884
370.000497, 10.000125, 212935, 1684, 211251
380.000384, 9.999887, 198345, 1884, 196461
390.000355, 9.999971, 201439, 1850, 199589
400.000406, 10.000051, 186077, 1784, 184293
410.000366, 9.99996, 293293, 1753, 291540
420.000366, 10.0, 192630, 2284, 190346
430.00047, 10.000104, 300202, 1611, 298591
440.000355, 9.999885, 219465, 2040, 217425
450.000382, 10.000027, 189346, 1906, 187440
460.000384, 10.000002, 228890, 1811, 227079
470.000404, 10.00002, 243769, 2087, 241682
480.000363, 9.999959, 304982, 1656, 303326
490.000358, 9.999995, 246410, 1952, 244458
500.000368, 10.00001, 256725, 1743, 254982
510.00036, 9.999992, 150407, 1988, 148419
520.000377, 10.000017, 218127, 1779, 216348
530.000379, 10.000002, 132200, 1959, 130241
540.000372, 9.999993, 201093, 1692, 199401
550.000386, 10.000014, 294896, 1688, 293208
560.000453, 10.000067, 256062, 1410, 254652
570.00044, 9.999987, 205042, 1611, 203431
580.000363, 9.999923, 190591, 1672, 188919
590.000368, 10.000005, 151737, 1551, 150186
600.00036, 9.999992, 107966, 1791, 106175
610.000367, 10.000007, 45043, 1725, 43318
620.000364, 9.999997, 65461, 1533, 63928
630.000377, 10.000013, 87978, 1808, 86170
640.00038, 10.000003, 94764, 1719, 93045
650.000359, 9.999979, 67589, 1778, 65811
660.000373, 10.000014, 125163, 1802, 123361
670.000358, 9.999985, 184706, 1985, 182721
680.000353, 9.999995, 172828, 1776, 171052
690.000442, 10.000089, 102809, 2068, 100741
700.000391, 9.999949, 100924, 2034, 98890
710.000381, 9.99999, 98712, 2062, 96650
720.000355, 9.999974, 107975, 2021, 105954
730.000359, 10.000004, 94495, 2181, 92314
740.00037, 10.000011, 93016, 2135, 90881
750.000353, 9.999983, 197333, 2194, 195139
760.000378, 10.000025, 132814, 2285, 130529
770.000379, 10.000001, 121119, 2188, 118931
780.000363, 9.999984, 78377, 2263, 76114
790.000357, 9.999994, 76275, 2369, 73906
800.000359, 10.000002, 113051, 2272, 110779
810.000382, 10.000023, 131555, 2473, 129082
820.000353, 9.999971, 138479, 2493, 135986
830.000375, 10.000022, 15789, 2736, 13053
840.000363, 9.999988, 48206, 2248, 45958
850.000364, 10.000001, 74595, 3001, 71594
860.000374, 10.00001, 34977, 2890, 32087
870.000387, 10.000013, 30667, 2520, 28147
880.000356, 9.999969, 22529, 2994, 19535
890.000374, 10.000018, 103235, 2682, 100553
900.000358, 9.999984, 41563, 2781, 38782
910.000357, 9.999999, 109098, 2409, 106689
920.000382, 10.000025, 236768, 2654, 234114
930.000369, 9.999987, 174030, 2960, 171070
940.000383, 10.000014, 176850, 3189, 173661
950.000389, 10.000006, 175960, 3110, 172850
960.000426, 10.000037, 171185, 2755, 168430
970.000359, 9.999933, 114775, 2664, 112111
980.000382, 10.000023, 194078, 3021, 191057
990.000379, 9.999997, 211392, 3210, 208182
1000.000387, 10.000008, 65781, 3198, 62583
1010.000385, 9.999998, 49844, 3187, 46657
1020.000385, 10.0, 91271, 3719, 87552
1030.000375, 9.99999, 22440, 3163, 19277
1040.000353, 9.999978, 159136, 3235, 155901
1050.000382, 10.000029, 80074, 2880, 77194
1060.000376, 9.999994, 112477, 2834, 109643
1070.000365, 9.999989, 210344, 3065, 207279
1080.000365, 10.0, 138159, 2947, 135212
1090.000355, 9.99999, 63558, 3394, 60164
1100.000461, 10.000106, 256774, 3442, 253332
1110.000379, 9.999918, 202384, 2836, 199548
1120.000355, 9.999976, 140623, 3367, 137256
1130.000386, 10.000031, 231828, 2835, 228993
1140.00036, 9.999974, 244834, 2913, 241921
1150.000354, 9.999994, 79982, 3082, 76900
1160.000361, 10.000007, 148397, 3393, 145004
1170.000362, 10.000001, 177638, 3042, 174596
1180.00038, 10.000018, 67192, 3459, 63733
1190.000364, 9.999984, 90312, 2812, 87500
1200.000355, 9.999991, 76669, 2946, 73723
1210.000376, 10.000021, 68046, 3756, 64290
1220.000382, 10.000006, 74594, 3574, 71020
1230.000373, 9.999991, 156168, 3273, 152895
1240.00038, 10.000007, 140724, 3140, 137584
1250.000381, 10.000001, 98781, 3544, 95237
1260.000366, 9.999985, 95729, 3131, 92598
1270.000371, 10.000005, 174403, 2943, 171460
1280.000418, 10.000047, 108521, 3882, 104639
1290.00041, 9.999992, 93171, 3284, 89887
1300.000374, 9.999964, 124329, 2624, 121705
1310.000385, 10.000011, 180766, 3694, 177072
1320.000386, 10.000001, 239091, 3397, 235694
1330.000381, 9.999995, 197133, 3124, 194009
1340.000374, 9.999993, 117913, 3936, 113977
1350.000422, 10.000048, 113121, 3437, 109684
1360.000379, 9.999957, 101527, 2986, 98541
1370.000398, 10.000019, 29377, 3229, 26148
1380.000362, 9.999964, 69868, 3083, 66785
1390.000382, 10.00002, 23057, 3469, 19588
1400.000388, 10.000006, 34817, 3654, 31163
1410.000382, 9.999994, 9759, 3611, 6148
1420.000381, 9.999999, 62066, 3342, 58724
1430.000371, 9.99999, 74131, 3066, 71065
1440.000392, 10.000021, 85810, 3943, 81867
1450.000377, 9.999985, 10214, 3844, 6370
1460.000377, 10.0, 80781, 3031, 77750
1470.000367, 9.99999, 106494, 3646, 102848
1480.000357, 9.99999, 88667, 3699, 84968
1490.000358, 10.000001, 72492, 3452, 69040
1500.000355, 9.999997, 33193, 3257, 29936
1510.000392, 10.000037, 42770, 3996, 38774
1520.000387, 9.999995, 86263, 3182, 83081
1530.000388, 10.000001, 48251, 3065, 45186
1540.00037, 9.999982, 49933, 4241, 45692
1550.000352, 9.999982, 96174, 3969, 92205
1560.000362, 10.00001, 34622, 3191, 31431
1570.000361, 9.999999, 175690, 3564, 172126
1580.000381, 10.00002, 59349, 4034, 55315
1590.000379, 9.999998, 16824, 4061, 12763
1600.000363, 9.999984, 97972, 4410, 93562
1610.000367, 10.000004, 101277, 3485, 97792
1620.00037, 10.000003, 17315, 4288, 13027
1630.000366, 9.999996, 16162, 3667, 12495
1640.000368, 10.000002, 81204, 3634, 77570
1650.000431, 10.000063, 10412, 3885, 6527
1660.000447, 10.000016, 111041, 4219, 106822
1670.000391, 9.999944, 47924, 4202, 43722
1680.000365, 9.999974, 35743, 4100, 31643
1690.000381, 10.000016, 10131, 3880, 6251
1700.00038, 9.999999, 3766, 3766, 0
1710.000374, 9.999994, 10087, 3767, 6320
1720.00039, 10.000016, 16866, 4300, 12566
1730.00038, 9.99999, 36640, 4373, 32267
1740.000367, 9.999987, 4182, 4182, 0
1750.000362, 9.999995, 4196, 4196, 0
1760.000362, 10.0, 10590, 4218, 6372
1770.000463, 10.000101, 55278, 3779, 51499
1780.000359, 9.999896, 16926, 3867, 13059
1790.000381, 10.000022, 74669, 3991, 70678
1800.000388, 10.000007, 30527, 4282, 26245
1801.004424, 1.004036, 543, 543, 0
