elapsed, window, total, successful, failed
10.000033, 10.000033, 109550, 109550, 0
20.000093, 10.00006, 77150, 77150, 0
30.000088, 9.999995, 66582, 66582, 0
40.000049, 9.999961, 466507, 27186, 439321
50.000033, 9.999984, 501107, 290, 500817
60.000041, 10.000008, 343130, 741, 342389
70.000114, 10.000073, 293762, 2983, 290779
80.000076, 9.999962, 221108, 25153, 195955
90.000038, 9.999962, 89196, 89196, 0
100.000022, 9.999984, 219555, 68417, 151138
110.000037, 10.000015, 256773, 27688, 229085
120.00002, 9.999983, 75469, 75469, 0
130.000522, 10.000502, 38435, 38435, 0
140.000061, 9.999539, 141305, 5764, 135541
150.000113, 10.000052, 293042, 923, 292119
160.000116, 10.000003, 237443, 250, 237193
170.000056, 9.99994, 144194, 11218, 132976
180.000024, 9.999968, 57991, 57991, 0
190.000031, 10.000007, 84550, 84550, 0
200.000026, 9.999995, 70608, 5362, 65246
210.000052, 10.000026, 318713, 2774, 315939
220.00003, 9.999978, 45798, 39759, 6039
230.000047, 10.000017, 43588, 43588, 0
240.000072, 10.000025, 37197, 37197, 0
250.000186, 10.000114, 72173, 34021, 38152
260.000097, 9.999911, 10198, 10198, 0
270.000024, 9.999927, 151497, 3088, 148409
280.000047, 10.000023, 13802, 2875, 10927
290.000057, 10.00001, 6754, 6754, 0
300.000035, 9.999978, 106034, 11916, 94118
310.000042, 10.000007, 58017, 58017, 0
320.000095, 10.000053, 46035, 46035, 0
330.000034, 9.999939, 46693, 46693, 0
340.000035, 10.000001, 41148, 41148, 0
350.000679, 10.000644, 35089, 35089, 0
360.000028, 9.999349, 109469, 52741, 56728
370.00004, 10.000012, 36179, 36179, 0
380.000253, 10.000213, 22723, 22723, 0
390.000049, 9.999796, 94266, 3203, 91063
400.000086, 10.000037, 47367, 5742, 41625
410.000185, 10.000099, 15081, 5106, 9975
420.000024, 9.999839, 8923, 8923, 0
430.000087, 10.000063, 23814, 23814, 0
440.000033, 9.999946, 37922, 37922, 0
450.000092, 10.000059, 50603, 50603, 0
460.000119, 10.000027, 42850, 42850, 0
470.000037, 9.999918, 47791, 47791, 0
480.000082, 10.000045, 30453, 30453, 0
490.000032, 9.99995, 34019, 34019, 0
500.000075, 10.000043, 55381, 55381, 0
510.000102, 10.000027, 33938, 33938, 0
520.000125, 10.000023, 11879, 11879, 0
530.000112, 9.999987, 89870, 1790, 88080
540.000114, 10.000002, 47329, 5330, 41999
550.000088, 9.999974, 9834, 9834, 0
560.000076, 9.999988, 13873, 7255, 6618
570.000039, 9.999963, 27441, 27441, 0
580.000128, 10.000089, 43454, 43454, 0
590.005198, 10.00507, 14764, 14764, 0
600.000039, 9.994841, 53237, 53237, 0
610.000031, 9.999992, 23577, 23577, 0
620.000029, 9.999998, 32946, 32946, 0
630.000064, 10.000035, 70227, 70227, 0
640.000048, 9.999984, 34456, 34456, 0
650.000055, 10.000007, 52367, 14125, 38242
660.00005, 9.999995, 45701, 45701, 0
670.00004, 9.99999, 10739, 10739, 0
680.000051, 10.000011, 107245, 4964, 102281
690.00007, 10.000019, 16371, 9743, 6628
700.000116, 10.000046, 9598, 9598, 0
710.000039, 9.999923, 28206, 8629, 19577
720.00007, 10.000031, 36205, 36205, 0
730.000077, 10.000007, 19163, 19163, 0
740.000055, 9.999978, 54907, 54907, 0
750.000066, 10.000011, 23248, 23248, 0
760.000056, 9.99999, 27072, 27072, 0
770.000033, 9.999977, 51980, 51980, 0
780.000143, 10.00011, 52052, 52052, 0
790.000036, 9.999893, 30311, 30311, 0
800.000039, 10.000003, 27987, 27987, 0
810.000045, 10.000006, 37454, 37454, 0
820.000046, 10.000001, 53021, 2663, 50358
830.000056, 10.00001, 81947, 6227, 75720
840.000044, 9.999988, 20323, 20323, 0
850.000041, 9.999997, 151804, 3546, 148258
860.00006, 10.000019, 19244, 12418, 6826
870.000048, 9.999988, 23407, 23407, 0
880.000048, 10.0, 36357, 36357, 0
890.000118, 10.00007, 39756, 33047, 6709
900.000032, 9.999914, 33649, 33649, 0
910.000033, 10.000001, 23493, 23493, 0
920.000035, 10.000002, 36306, 36306, 0
930.000086, 10.000051, 52393, 52393, 0
940.000169, 10.000083, 71102, 30892, 40210
950.00002, 9.999851, 50347, 50347, 0
960.000108, 10.000088, 34533, 34533, 0
970.000044, 9.999936, 52265, 3609, 48656
980.00005, 10.000006, 11219, 11219, 0
990.000034, 9.999984, 16400, 16400, 0
1000.00002, 9.999986, 10159, 10159, 0
1010.000082, 10.000062, 15656, 15656, 0
1020.000109, 10.000027, 25411, 25411, 0
1030.000143, 10.000034, 25206, 25206, 0
1040.000112, 9.999969, 46516, 46516, 0
1050.000037, 9.999925, 33241, 33241, 0
1060.000118, 10.000081, 24879, 24879, 0
1070.000039, 9.999921, 34435, 34435, 0
1080.000037, 9.999998, 34983, 34983, 0
1090.000043, 10.000006, 40467, 40467, 0
1100.000026, 9.999983, 37398, 37398, 0
1110.000033, 10.000007, 33078, 33078, 0
1120.000049, 10.000016, 41024, 8551, 32473
1130.000073, 10.000024, 88629, 15367, 73262
1140.000043, 9.99997, 21884, 21884, 0
1150.00005, 10.000007, 8619, 8619, 0
1160.000038, 9.999988, 49137, 18800, 30337
1170.000022, 9.999984, 19229, 19229, 0
1180.000047, 10.000025, 35673, 35673, 0
1190.000095, 10.000048, 65382, 28454, 36928
1200.000087, 9.999992, 39126, 39126, 0
1210.000227, 10.00014, 28196, 28196, 0
1220.000046, 9.999819, 41136, 41136, 0
1230.000094, 10.000048, 49761, 49761, 0
1240.000117, 10.000023, 27279, 27279, 0
1250.000083, 9.999966, 141706, 25122, 116584
1260.000112, 10.000029, 51387, 51387, 0
1270.000043, 9.999931, 18534, 18534, 0
1280.000049, 10.000006, 141608, 13952, 127656
1290.00005, 10.000001, 9895, 9895, 0
1300.000048, 9.999998, 10866, 10866, 0
1310.00013, 10.000082, 23179, 23179, 0
1320.000204, 10.000074, 28879, 28879, 0
1330.00004, 9.999836, 23045, 23045, 0
1340.000244, 10.000204, 31436, 31436, 0
1350.000027, 9.999783, 26127, 26127, 0
1360.000109, 10.000082, 19871, 19871, 0
1370.000062, 9.999953, 63323, 63323, 0
1380.000033, 9.999971, 28335, 28335, 0
1390.00005, 10.000017, 24904, 11645, 13259
1400.000078, 10.000028, 34577, 34577, 0
1410.000037, 9.999959, 53005, 53005, 0
1420.000155, 10.000118, 11597, 11597, 0
1430.000026, 9.999871, 30186, 30186, 0
1440.000058, 10.000032, 13673, 7829, 5844
1450.000036, 9.999978, 15200, 8626, 6574
1460.000025, 9.999989, 27059, 27059, 0
1470.000244, 10.000219, 19527, 19527, 0
1480.000037, 9.999793, 32145, 32145, 0
1490.000086, 10.000049, 40653, 40653, 0
1500.000038, 9.999952, 31333, 31333, 0
1510.000071, 10.000033, 19287, 19287, 0
1520.000064, 9.999993, 33783, 33783, 0
1530.000088, 10.000024, 31528, 31528, 0
1540.000113, 10.000025, 30437, 30437, 0
1550.000051, 9.999938, 46609, 46609, 0
1560.000066, 10.000015, 26196, 26196, 0
1570.000049, 9.999983, 19003, 19003, 0
1580.000035, 9.999986, 42894, 42894, 0
1590.000051, 10.000016, 8911, 8911, 0
1600.000214, 10.000163, 13944, 13944, 0
1610.000062, 9.999848, 12736, 12736, 0
1620.000046, 9.999984, 29742, 29742, 0
1630.00011, 10.000064, 19955, 19955, 0
1640.000046, 9.999936, 34415, 34415, 0
1650.000043, 9.999997, 42076, 42076, 0
1660.000048, 10.000005, 22829, 16192, 6637
1670.000281, 10.000233, 41880, 41880, 0
1680.000064, 9.999783, 58708, 21474, 37234
1690.000157, 10.000093, 25816, 25816, 0
1700.00008, 9.999923, 57650, 57650, 0
1710.000021, 9.999941, 27995, 27995, 0
1720.000111, 10.00009, 70622, 16144, 54478
1730.000048, 9.999937, 63212, 34464, 28748
1740.000072, 10.000024, 18572, 18572, 0
1750.000028, 9.999956, 10454, 10454, 0
1760.000048, 10.00002, 100386, 20425, 79961
1770.000454, 10.000406, 8432, 8432, 0
1780.000237, 9.999783, 21848, 21848, 0
1790.00004, 9.999803, 41075, 41075, 0
1800.000036, 9.999996, 31843, 31843, 0
1801.004872, 1.004836, 0, 0, 0
